km,potencia,volante_regulable,aire_acondicionado,camara_trasera,elevalunas_electrico,bluetooth,gps,alerta_lim_velocidad,precio,RAIZ_PRECIO,tipo_gasolina_diesel,tipo_gasolina_petrol,color_black,color_blue,color_brown,color_grey,color_silver,color_sin especificar,color_white,tipo_coche_estate,tipo_coche_hatchback,tipo_coche_sedan,tipo_coche_sin especificar,tipo_coche_suv,marca_modelo_BMW 114,marca_modelo_BMW 116,marca_modelo_BMW 118,marca_modelo_BMW 120,marca_modelo_BMW 125,marca_modelo_BMW 135,marca_modelo_BMW 216 Gran Tourer,marca_modelo_BMW 218,marca_modelo_BMW 218 Active Tourer,marca_modelo_BMW 218 Gran Tourer,marca_modelo_BMW 316,marca_modelo_BMW 318,marca_modelo_BMW 318 Gran Turismo,marca_modelo_BMW 320,marca_modelo_BMW 320 Gran Turismo,marca_modelo_BMW 325,marca_modelo_BMW 325 Gran Turismo,marca_modelo_BMW 328,marca_modelo_BMW 330,marca_modelo_BMW 335,marca_modelo_BMW 418 Gran Coupé,marca_modelo_BMW 420,marca_modelo_BMW 420 Gran Coupé,marca_modelo_BMW 430 Gran Coupé,marca_modelo_BMW 435 Gran Coupé,marca_modelo_BMW 518,marca_modelo_BMW 520,marca_modelo_BMW 520 Gran Turismo,marca_modelo_BMW 523,marca_modelo_BMW 525,marca_modelo_BMW 528,marca_modelo_BMW 530,marca_modelo_BMW 530 Gran Turismo,marca_modelo_BMW 535,marca_modelo_BMW 640,marca_modelo_BMW 640 Gran Coupé,marca_modelo_BMW 730,marca_modelo_BMW 740,marca_modelo_BMW M3,marca_modelo_BMW M550,marca_modelo_BMW X1,marca_modelo_BMW X3,marca_modelo_BMW X4,marca_modelo_BMW X5,marca_modelo_BMW X5 M,marca_modelo_BMW X6,marca_modelo_BMW X6 M,marca_modelo_BMW Z4
0.3519784086707397,0.13545816733067728,1,1,0,1,0,1,1,0.1522633744855967,106,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4598495347953929,0.21513944223107573,0,0,0,1,0,1,0,0.13717421124828533,100,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3820135977080592,0.6334661354581673,1,1,0,1,1,1,1,0.23182441700960219,130,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.572290959762757,0.31474103585657376,1,1,0,1,0,1,1,0.17969821673525377,115,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.33088510867350657,0.2749003984063745,1,1,0,1,1,1,1,0.2949245541838134,147,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.19263419750633226,0.2749003984063745,1,1,0,1,1,1,1,0.49519890260631,190,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5156313275498218,0.31474103585657376,1,1,0,1,0,1,1,0.14814814814814814,104,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3231254103081996,0.1752988047808765,1,0,0,0,0,1,0,0.102880658436214,87,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.16187460226829692,0.2749003984063745,1,1,0,1,0,1,1,0.3744855967078189,165,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6044566073139873,0.21513944223107573,1,0,0,0,0,1,1,0.07270233196159122,74,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
